,name,location,about,tags,overallRating,overallRatingCnt
1403,Fish Spa &amp; Reflexology,"Changi Airport T1, Transit, Singapore 819642 Singapore","A place to relax and unwind, to be pampered and nurtured, and where you can soothe your mind, body and soul so that they can return to their perfect balance. Fish Spa &amp; Reflexology offers traditional therapies that have been handed down from generations, as well as fun and refreshing fish spa treatments that will leave you bright and energetic to face your journey.",Spas,5.0,3
1404,Fresh! Singapore,"101 Jalan Sultan The Sultan #02-01, Singapore 199002 Singapore",,Bars &amp; Clubs,4.5,3
1405,Bollywood Dhoom Club,"8 Circular Road, Singapore 049364 Singapore","In Bollywood Dhoom, you will step into a sensually exotic setting, and layered with a slick sophisticated touch. Our exotic dancers are the stars of the night, specially trained in India, their graceful dance to the rhythm of the Bollywood songs will set the mood as you chill and be entertained.",Bars &amp; Clubs,4.0,5
1406,Elements Wellness CentrePoint,"176 Orchard Road The Centrepoint The Centrepoint #02-28 The Centrepoint, Singapore 238843 Singapore","Welcome to Elements Wellness at Centrepoint. - Singapore's first private Koyamaki Onsen Spa. Our popular services include body massage, facial treatments, slimming and onsen services. We also specialize in deep tissue massage therapy, a modern take on traditional tui na massage, that focuses on problems areas like neck, shoulder and lower back to relive aches and pain, stress and tense muscle knots. We are at two convenient locations along Orchard road; The Centrepoint or ION orchard.",Spas,4.5,2
1407,Image Spa,"Blk 204 Bedok North Street 1 #01-409 Beside ocbc bank, Singapore 460204 Singapore","Our main slogan as institution assosiated with massage therapy is to help our clients in maintaining and improving their health, beauty and wellness. We pride ourselves with the best of South East Asia Furnishing and practised some of the best massage sessions from Thailand, China, Malaysia and Singapore.",Spas,5.0,2
1408,Flop,"462 Crawford Lane Blk 462A, #01-73, Singapore 190462 Singapore",,Cooking Classes,5.0,2
1409,New2U Thrift Shop,"96 Waterloo Street, Singapore 187967 Singapore",,Speciality &amp; Gift Shops,4.5,4
1410,Wellness &amp; Care - Sauna Detox Center,"52 Chin Swee Road #02-27, Singapore 160052 Singapore",,Spas,5.0,2
1411,Teajoy,"420 North Bridge Road #01-05 North Bridge Centre, Singapore 188727 Singapore",,Speciality &amp; Gift Shops,5.0,2
1412,Calla Spa,"3 Temasek Boulevard Suntec City Mall #01-500, Suntec City Mall Tower 2, Singapore 038983 Singapore",,Spas,5.0,2
1413,Golfwav,"1 Stadium Pl #01-68, Singapore 397628 Singapore","Golfwav offers the best in indoor golf for everyone to enjoy and have fun in a relaxing atmosphere! Powered by Golfzon , rated Best Simulator by Golf Digest 2017-2021 Golf lessons for ALL are also available. Plan and hold events, parties, or even surprise that special someone for a round of indoor golf and be transported to over 190 golf courses in the world ! Featuring not 1 but 2 one of its kind simulator in Singapore (The GDR and Vision With Moving Swing Plate), the Indoor Golf experience has never been better ! Swing n Surf on down to Golfwav NOW! Follow Instagram: golfwav for the latest and greatest promotions",Sports Complexes,5.0,1
1414,Amore Fitness &amp; Define,"60A Orchard Road #04-53 Plaza Singapura, Singapore 238839 Singapore","More than fitness and health, Amore is a way of life. In the heart of Amore, lies the vision to be “More than I am”. Our passion goes beyond bringing vibrancy and wellness to everyone. Exclusively for ladies, we bring a new kind of holistic experience with the best of both worlds from world-class gym facilities , signature fitness/dance classes and award winning face &amp; body spa treatments.",Health Clubs • Yoga &amp; Pilates • Spas,5.0,2
1415,Singapore Cab Booking Pte Ltd,,"Singapore Cab Booking Services provide 24 hours reliable limo cab, maxi cab and mini bus around Singapore island. Our SG Cab Booking or SG Maxi Cab Singapore have had a long and hard road towards the top, but we have managed to do it by giving priority transport services to all our clients. We love providing them with high-class services because we value all our customers.",Taxis &amp; Shuttles,5.0,1
1416,Amore Fitness &amp; Define,"17 Petir Road #B1-18 Hillion Mall, Singapore 678278 Singapore","More than fitness and health, Amore is a way of life. In the heart of Amore, lies the vision to be “More than I am”. Our passion goes beyond bringing vibrancy and wellness to everyone. Exclusively for ladies, we bring a new kind of holistic experience with the best of both worlds from world-class gym facilities , signature fitness/dance classes and award winning face &amp; body spa treatments.",Health Clubs • Spas,5.0,2
1417,Palfie Pix,"181 Orchard Road #04-07 Orchard Central, Singapore 238896 Singapore","Palfie Pix, Singapore’s first and only smart selfie creative studio! We redefine the concept of photography with up to 60,000 virtual backgrounds! Just press the shutter in your hand to control the SLR camera and studio lightings. It’s now fun and easy to create unique and everlasting memories. Let your creative juices flow and download all images with no hassle!",Game &amp; Entertainment Centers,4.5,2
1418,Filmgarde,"201 Victoria Street Bugis+ Level 5, Bugis+, Singapore 188067 Singapore",,Movie Theaters,3.5,8
1419,39+ Art Space,"39 Keppel Road Tanjong Pagar Distripark #03-01, Singapore 089065 Singapore","39+ Art Space is an art gallery that aims to showcase artworks and collections of upcoming and established international artists. Opened in January 2022, 39+ Art Space was born out of a desire to introduce and promote international artists across Asia, and to introduce Asian artists to the global stage.",Art Galleries,5.0,1
1420,The Jews Of Singapore Museum,"24 Waterloo Street Jewish Synagogue 24 Waterloo St., Singapore 187950 Singapore",,Speciality Museums,5.0,1
1421,Awfully Chocolate,"252 North Bridge Road Raffles City Shopping Centre, Singapore 179103 Singapore",,Speciality &amp; Gift Shops,5.0,1
1422,Hop Shop Craft Beer Store,"1 Jalan Anak Bukit Bukit Timah Plaza Bukit Timah Plaza #B1-15, Singapore 588996 Singapore",Hop Shop is both an online shop and in brick and mortar store @ Bukit Timah Plaza. Online deliveries daily including Sunday &amp; Public Holidays. Opening Hours: Daily 11.00am to 8pm.,Speciality &amp; Gift Shops,5.0,2
1423,Liquified Bistro &amp; Bar,"430 Upper Changi Road East Village East Village #01-10, Singapore 487048 Singapore",,Bars &amp; Clubs,4.5,2
1424,Maxi Cab Booking - Limo Taxi,,"Maxi Cab Booking in Singapore Our Services Includes: Airport transfer, hotel transfer, point-to-point transfer, hourly disposal, wedding, special events etc).",Taxis &amp; Shuttles,3.5,7
1425,Rose SPA,"531 Angmokio Ave 10 #01-2437, Singapore 560531 Singapore","Rose SPA @ 531 Ang Mo Kio ave 10 Singapore 560531 opens from 07am-1030pm daily.we are adept to provide top notch/relieving massage that rejuvenates your tired muscles n mind,especially good when are having a tiring day travelling.",Spas,4.5,2
1426,The Saber Authority,"1 Stadium Drive 100Plus Promenade, Gate 5-6, National Stadium, Singapore 397629 Singapore",,Lessons &amp; Workshops,5.0,2
1427,Chateau Spa,"15 Bali Lane, Singapore 189851 Singapore",,Spas,4.5,2
1428,Basharahil House of Batik,"101 Arab Street, Singapore 199797 Singapore",Many looking to tailor-make traditional costumes in the extravagant Malay style will surely come here to see its offerings.,Speciality &amp; Gift Shops,4.5,3
1429,Maxi Cab Online,"200 Jln Sultan, 12-06 Textile Centre, Singapore 199018 Singapore","Maxi Cab Online offers wide range of services for public transportation along with comfortable travelling, affordable charges, quick services, clean maxi cab services.We offer services such as: • Maxi cab • Maxitaxi online • 7 seater maxi cab • 9 seater maxi cab • 13 seater maxi cab • 30 seater bus charter • 40 seater bus charter • Vellfire limo cab • Limo services • Wheelchair transfer",Taxis &amp; Shuttles,5.0,3
1430,Marina South Promenade,"Along Republic Boulevard and Republic Avenue, Singapore 038975 Singapore",,Parks,5.0,1
1431,Decathlon,"230 Stadium Boulevard, Singapore 397799 Singapore",,Speciality &amp; Gift Shops,3.5,5
1432,On Cheong Jewellery,"251 South Bridge Road, Singapore 058800 Singapore","Founded in 1936, On Cheong Jewellery, a trusted heritage brand is one of the most reputable jewellers in Singapore. Over years, it has achieved a reputation for being a purveyor of unique jewellery designs and expert craftsmanship. On Cheong offers an extensive array of customised and ready-made jewellery, covering a diverse range; from traditionally Asian creations to western-styled pieces. The On Cheong collection of jade jewellery is reputed to one of the most complete and exquisite in Singapore.",Speciality &amp; Gift Shops,5.0,1
1433,Unplugged,"Block 7 Dempsey Road #01-03, Singapore 249671 Singapore",,Bars &amp; Clubs,3.5,11
1434,Health Step Foot Reflexology Centre,"4A Lorong Mambong Holland Village, Singapore 277672 Singapore",,Spas,4.5,2
1435,Jln Selaseh Playground,,,Parks,4.0,2
1436,Singapore Bowling @ Rifle Range,"131 Rifle Range Road 04-01 Temasek Club, Singapore 588406 Singapore",,Bowling Alleys,4.0,3
1437,Wessex Estate,,,Parks,5.0,1
1438,Padma Spa,"15 Scotts Road #01-03 Beside DFS T Galleria, Scotts Building, Singapore 228218 Singapore","A multi-sensory spa that looks after your mind &amp; body. Experience the perfect blend of spa indulgence, restorative therapies and supreme service at every level. With our professional healing touches from head to toe, Padma Spa creates a harmoniously serene environment to revitalise your energies. Our spa treatments and facilities are available for both male and female guests, with our suite of curated massages inherently rooted in the traditional oriental approach to wellness.",Spas,5.0,1
1439,Wardah Books,"58 Bussorah Street, Singapore 199474 Singapore",,Speciality &amp; Gift Shops,4.0,5
1440,Magic Carpet Lounge,"72 Bussorah Street, Singapore 199485 Singapore",,Bars &amp; Clubs,3.5,20
1441,Cathay Picturehouse,"2 Handy Road The Cathay 2 Handy Road, Singapore 229233 Singapore","With its home at The Cathay, one of the first theatres in Singapore, The Picturehouse exclusively features first runs of the latest films and international festival winners, and is definitely a must for discerning art-house moviegoers.",Movie Theaters,3.5,6
1442,one-north Park: Fusionopolis South,"10 Central Exchange Green Pixel, Singapore 138649 Singapore",,Parks,5.0,1
1443,Entertainment Deck,,,Game &amp; Entertainment Centers,3.5,8
1444,Sadhu Thai Wellness,"275 Outram Road, Singapore 169064 Singapore",,Spas,5.0,2
1445,Soul &amp; Sole - Massage &amp; Rest Pod,"107 North Bridge Road #1-36 #B Funan Mall, Singapore 179105 Singapore",,Spas,5.0,1
1446,KJC Art Circuit,"150 E East Coast Road Singapore 428837, Singapore 428841 Singapore","This trail is about revitalising Katong Joo Chiat, Singapore’s first and only heritage town. It hopes to bring both tourists and more locals to the area to discover the stories this area has to offer. Besides just showcasing Peranakan culture, it will show how Katong Joo Chiat is a ‘Little Singapore’.",Scenic Walking Areas,5.0,1
1447,Adam Park,,,Historic Sites,5.0,1
1448,Sweet Enchantment,"1 Harbourfront Walk #01-159 Vivo City, Singapore 098585 Singapore",,Speciality &amp; Gift Shops,5.0,3
1449,Arcadia Road,,,Jogging Paths &amp; Tracks,5.0,1
1450,Orchard Heritage Trail,,,Historic Walking Areas,5.0,1
1451,M&amp;M's World,,"Visit the M&amp;M'S store for a shopping experience filled with colourful chocolate fun! Shop for friends, family or treat yourself with limited edition M&amp;M'S merchandise including apparel, souvenirs and of course, chocolate!",Speciality &amp; Gift Shops,4.5,2
1452,Willow And Huxley,"20 Amoy Street, Singapore 069855 Singapore",Willow &amp; Huxley is a cutting-edge boutique store offering the latest designer fashions from a range of cult and emerging labels. From the range of brands on offer to the personable service and contemporary interior - Willow &amp; Huxley is the only multi-label boutique you need to know about in Singapore and a welcome escape from the chaos and ubiquity of Orchard Road.,Speciality &amp; Gift Shops,4.5,2
1453,Aljunied Brothers,"95 Arab Street, Singapore 199791 Singapore",,Speciality &amp; Gift Shops,4.5,3
1454,Empire Lounge,"50 Raffles Place Singapore Land Tower Singapore Land Tower, Level 45, Singapore 048623 Singapore",,Bars &amp; Clubs • Dance Clubs &amp; Discos,3.5,35
1455,Heritage Road- Mt Pleasant Road,,,Historic Walking Areas • Architectural Buildings,5.0,1
1456,Red Dynasty Paintball Park,"81 Lorong Chencharu (Yishun) Orto, Singapore 769198 Singapore","Red Dynasty Paintball Park, opened its first branch at Bottle Tree Park, Khatib, in 2007. Over the years, we have assisted over 10000 companies to bring an unforgettable experience to their staff and families through paintball teambuilding. Red Dynasty Paintball Park currently has 4 branches: Red Dynasty Paintball Park (The Cage Sports Park, Bukit Timah) Red Dynasty Paintball Park (ORTO, Yishun) Red Dynasty Paintball Park (Camp Challenge, Sembawang) Red Dynasty Paintball Park (Fairway Club, Jurong) Paintball is a sport played by many around the world and from all professions and lifestyles. It is a sport where women and men compete equally, and, which is not dominated by the younger nor the faster. Like a game of chess, being able to think quickly and decisively, is what makes you a unique individual in paintball. Teamwork and determination, not merely strength, speed or agility, are keys to success in the sport. The memory of your colleague sitting beside you right now shooting you in paintball brings such an adrenaline rush that you know you want to win him or her in the next death match! Red Dynasty Paintball Park (ORTO, Yishun) Formerly known as Bottle Tree Park, Red Dynasty Paintball Park (ORTO, Yishun) is newly renovated and situated right in the heart of ORTO Leisure Park where there are activities for the whole family. Easily accessible and conveniently located, Red Dynasty Paintball Park (ORTO, Yishun) features inflatable walls and bunkers which allow close contact battle paintball games which is different from the rest of the other paintball outlets managed by Red Dynasty Paintball Park. Red Dynasty Paintball Park (ORTO, Yishun) is also the first recreational paintball arena in Singapore which can accommodate night games up to 11 pm. With the use of flood lights during night games, the atmosphere changes and so does your strategies. Make a booking today via our online form located on our website or give us a call.",Game &amp; Entertainment Centers,3.5,5
1457,Ridley Park,,,Historic Walking Areas • Architectural Buildings • Scenic Walking Areas,5.0,1
1458,Healing Thai,"39 Jalan Besar, Singapore 208802 Singapore",,Spas,3.5,6
1459,Goodwood Hill,,,Neighborhoods • Historic Walking Areas • Architectural Buildings,5.0,1
1460,Nassim Road,"7 Nassim Road Nassim Lodge, Singapore 258374 Singapore",,Historic Walking Areas • Architectural Buildings • Scenic Walking Areas,5.0,1
1461,Wonderful Life,"15 Marina Grove, Singapore 019598 Singapore",,Theatre &amp; Performances,5.0,2
1462,K+ Curatorial Space,"6 Scotts Road Scotts Square Scotts Square #03-11/12/13, Singapore 228209 Singapore","K+ brings you artists who peddle the extraordinary, things that tickle the imagination, brands that stand out from the bland. The gallery regularly presents fresh artists from Singapore and beyond. Find the perfect gift in our retail space filled with an eclectic range of lifestyle goods by local designers, or pick something for yourself from our range of international indie brands.",Speciality &amp; Gift Shops • Art Galleries • Lessons &amp; Workshops,4.5,2
1463,Spa Rael,"22 Scotts Road Goodwood Park Hotel Goodwood Park Hotel, Singapore 228221 Singapore",,Spas,3.0,45
1464,Click Art Museum,,,Speciality Museums,5.0,1
1465,Alexandra Park,,,Neighborhoods • Architectural Buildings • Scenic Walking Areas,5.0,1
1466,Sweatbox Yoga,"200 Turf Club Road #05-03/04, Singapore 287994 Singapore",,Yoga &amp; Pilates,5.0,1
1467,Armenian Street Park,"7 Armenian Street Bible House, Singapore 179932 Singapore",,Parks • Gardens,5.0,1
1468,Kent Ridge Heritage Trail,,,Historic Sites • Points of Interest &amp; Landmarks • Historic Walking Areas,5.0,1
1469,Flex Foot Reflexology Center,"5 Koek Road Cuppage Plaza #01-17 Cuppage Plaza, Singapore 228796 Singapore","Come and relax and chill, with certified trained therapists n Reiki healers, Reiki courses available, Aircrew packages available, Open from 1pm-9pm Mondays to Saturdays, Sundays til 7pm",Spas,4.5,2
1470,Kallang Park Connector,"998 Bendemeer Road, Singapore 339945 Singapore",,Hiking Trails • Jogging Paths &amp; Tracks,4.5,2
1471,Champions Public Golf Course,"60 Fairways Drive Champions Golf Academy, Singapore 286966 Singapore","Located in the heart of Bukit Timah, Green Fairways is one of Singapore’s few public golf courses, a 9-hole affair with a 60 bay undercover driving range, good balls and a huge grass landing area surrounded by luxuriant jungle.",Golf Courses,3.5,10
1472,Candylicious,"26 Sentosa Gateway Resorts World Sentosa, Singapore 098138 Singapore",,Speciality &amp; Gift Shops,4.0,4
1473,JBS Ayurvedic Healthcare,"60 Rangoon Road R66 Apartments Opp. Farrer Park MRT Exit-B, Singapore 218350 Singapore",JBS AYURVEDIC HEALTHCARE CENTRE gives you unique facility of touch to Indian Traditional Way of Healing . Under the supervision of experienced doctors and Traditional therapists you will feel rejuvenated. Ayurvedic treatments are holistic way to combat prevailing stress and Lifestyle generated disorders and diseases. GOOD HEALTH RESIDES IN NATURE AND NATURE RESIDES IN AYURVEDA...,Spas,4.0,2
1474,Marina Promenade,"1 Republic Boulevard The Pit Building, Singapore 038975 Singapore",,Parks,5.0,1
1475,Northern Eastern Riverine Loop,,,Other Outdoor Activities,4.5,3
1476,Ziya Fashion,"390 Victoria Street Village Hotel Bugis Golden Landmark Shopping Complex, Singapore 188061 Singapore",,Speciality &amp; Gift Shops,5.0,1
1477,Jalan Besar,"Jalan Besar Road, Singapore 208826 Singapore",,Historic Walking Areas,5.0,1
1478,Geylang,"447 Geylang Road Geylang Post Office, Singapore 389406 Singapore",,Historic Walking Areas,5.0,1
1479,Fine Wines SG Pte Ltd,"114 Lavender Street #02-60 CT Hub 2, 338729 Singapore","New to wine and not sure where to start? Make your first baby steps by signing up for our wine classes and enter a magical world of wine. The world of wine can seem overwhelming and intimidating but at Fine Wines SG, we believe it should be fun.",Lessons &amp; Workshops,5.0,1
1480,Spalogy,"34 Craig Road Chinatown Plaza #02-10 Chinatown Plaza, Singapore 089673 Singapore",,Spas,4.5,2
1481,EGT Scooter,"18 Mount Elizabeth Oakwood Studios Singapore Oakwood Studios Singapore, Singapore 228514 Singapore",,Gear Rentals,4.5,2
1482,Annie Tiang TCM,"24A Haig Road, Singapore 438734 Singapore","Founded in 1981, Annie Tiang TCM is a MOH registered TCM Clinic and recognized as one of the Best TCM in Singapore, led by Prof Joseph Yap who is the descendant of the Ninth generation.We are home to some of Singapore’s best acupuncturists, best TCM massage or best Tui Na in Singapore and most professional TCM consultant.",Spas,5.0,1
1483,Sgvenusflytrap Community Garden,"21A Tebing Lane, Singapore 828837 Singapore",,Gardens,5.0,2
1484,Blair Plain Conservation Area,"51 Blair Road, Singapore 089951 Singapore",,Points of Interest &amp; Landmarks • Historic Walking Areas • Architectural Buildings,5.0,1
1485,Zhenghua Nature Park,"466 Segar Road, Singapore 670466 Singapore",,Hiking Trails • Jogging Paths &amp; Tracks,5.0,1
1486,Nature Zen Spa,"68 Thomson Road, Singapore 307587 Singapore","We strive to provide an unforgettable and superior experience for each and every individual customers as a place they would love coming back to rest their mind, body and soul. We ensure each services we provide are tailored made according to their requirements.",Spas,5.0,1
1487,Luxury City,"133 New Bridge Rd, #01-49a / 50 Chinatown Point, Singapore 059413 Singapore",,Speciality &amp; Gift Shops,5.0,1
1488,Ek Mineral Haven,"38 Mayo Street Along Perak Road, Just Outside Rochor Mrt Station Exit B, 208318 Singapore",,Speciality &amp; Gift Shops,5.0,1
1489,Whampoa Park Connector,,,Biking Trails • Hiking Trails • Jogging Paths &amp; Tracks,5.0,1
1490,House Of Traditional Javanese Massage,"1 Goldhill Plaza Goldhill Plaza, Singapore 308899 Singapore","The biggest renowned family Javanese Wellness Chain established in Singapore since 1999, The House Of Traditional Javanese Massage Signature Branch is located at the Harbourfront Center. Restore Health, Relax Your Mind and Delight in Javanese Cuisine in Majapahit luxury.",Spas,5.0,1
1491,Seah Im Bunker,,,Historic Sites • Historic Walking Areas • Military Bases &amp; Facilities,5.0,1
1492,Apple Marina Bay Sands,"2 Bayfront Avenue #2-06 Marina Bay Sands B, Singapore 018972 Singapore",,Speciality &amp; Gift Shops,5.0,1
1493,Tag Team inc,"BLK 920 East Coast Parkway #01-03 Parkland Green Parkland Green, Singapore 449875 Singapore",,Shooting Ranges • Game &amp; Entertainment Centers,3.5,10
1494,IRVINS Salted Egg (Orchard Gateway),"277 Orchard Road Orchard Gateway Orchard Gateway #L1-K3, Singapore 238858 Singapore","With an emphasis on quality over quantity, IRVINS Salted Egg snacks are freshly made #DangerouslyAddictively without any added preservatives, in Singapore. You can find IRVINS Salted Egg Stores in the five foreign countries, including Hong Kong, Taiwan, the Philippines, Thailand, and Japan at the moment.",Speciality &amp; Gift Shops,5.0,1
1495,LivingveggiebyAnia,,"Vegan food can be healthy, fun and delicious A passionate vegan foodie, Ania provides hands on Plant based cooking classes in the heart of Singapore. The cooking classes provide veganised versions of popular traditional dishes from all around the world (e.g Singapore, Persian , Arabic , Georgian). She also offers the benefits of her local knowledge of the vegan scene in Singapore.",Cooking Classes,5.0,2
1496,Timezone,"3 Gateway Drive Westgate #B1-03 / 04/ 05 Westgate, Singapore 608532 Singapore",,Game &amp; Entertainment Centers,4.0,2
1497,Insectta,"60 Jalan Penjara, Singapore 149375 Singapore","Insectta is Singapore's first insect farm with the goal of turning waste into gold. Using the amazing waste converting powers of the black soldier fly, Insectta is pioneering food waste management in Singapore with urban insect farming. There are educational talks and tours mean to introduce anyone of all ages to insect farming, the agriculture of the future.",Farms,5.0,1
1498,Risis,"18 Marina Gardens Drive Gardens By the Bay Gardens By The Bay, Singapore 018953 Singapore",,Speciality &amp; Gift Shops,5.0,1
1499,Gamestate,"50 Armenian Street #01-02 Wilmer Place, Singapore 179938 Singapore",,Speciality &amp; Gift Shops,5.0,1
1500,Airport Transfer Services in Singapore,,"Book Taxi Group provide to individual and groups, private transfer services in Singapore, with a large fleet of cars, minivans and minibuses.",Taxis &amp; Shuttles,5.0,1
1501,Art Glass Solutions,"8 Jalan Tembusu, Singapore 438223 Singapore","Art Glass Solutions offers a range of creative experiences to educate and assist an appreciation of glass making processes. We offer Hot Glass, Bead Making and Kiln Forming workshops for individuals, couples and small groups. All programs are suitable for beginners. Experience a “hands on” workshop to appreciate the skills and techniques involved in creating an artwork made of glass. The studio is based in Singapore's Katong district, so after the glassmaking, explore the surrounding back streets to discoverer Singapore's unique Paranakan Houses and enjoy local food options along East Coast and Joo Chiat Roads.",Lessons &amp; Workshops,5.0,1
1502,Sufi Trading,"52 Arab Street, Singapore 199749 Singapore",,Speciality &amp; Gift Shops,4.5,2
1503,D Transporter+,"Jurong West Street 42, Singapore 640403 Singapore",D Transporter+ provides premium chauffeured transport services to individuals and corporate clients. Services include: - Private Hire for daily or weekly slots - Airport/ ferry/ cruise terminal transfers - Point to point city transfers - Singapore - Malaysia private hire Contact us today for discussion. We pride to deliver a reliable and safe transport solution for your needs.,Taxis &amp; Shuttles,5.0,1
1504,Han Palace Spa,"245 Jalan Kayu, Singapore 799469 Singapore",,Spas,5.0,1
1505,Maxicabooking SG,"Singapore, Singapore 730437 Singapore","MaxiCABooking SG strives to provide dedicated transportation services with a large fleet of limo cab, maxi cab &amp; mini bus ranging from 4 seaters limo to 44 seater coach and not forgetting our party buses! Each vehicle comes with plush seats, spacious interior &amp; seating arrangements. With the largest fleet in town, we are able to provide Fast, Reliable &amp; Affordable transportation in Singapore.",Taxis &amp; Shuttles,5.0,1
1506,Zoff-Spectacles,"107 North Bridge Road #01-28 Funan Mall, Singapore 179105 Singapore",,Speciality &amp; Gift Shops,5.0,1
1507,Hana Body Wellness,"190 Middle Road Fortune Centre, Singapore 188979 Singapore",,Spas,5.0,2
1508,Burlington Square,"175 Bencoolen Street Burlington Square, Singapore 189649 Singapore",,Speciality &amp; Gift Shops • Shopping Malls,3.5,11
1509,Carnival Cinemas,,,Movie Theaters,5.0,1
1510,Malayala Ayurveda Vaidyasala Pte Ltd,"448 Serangoon Road #01-01, Singapore 218138 Singapore",We are the oldest Ayurvedic Clinic in Singapore which was founded in 1932. We offer traditional Indian medicines and therapy. Our specialty is Abhyangam (Traditional Ayurvedic Oil massage) which can be done by ladies and gents. We have shower facilities at our clinic. Do fix an appointment before you visit us.,Spas,5.0,1
1511,Climb Central,,,Game &amp; Entertainment Centers,5.0,1
1512,Bonita,"1 Tras Link Orchid Hotel CBD, #01-10 Orchid Hotel, Singapore 078867 Singapore","The Singapore CBD Beauty salon. Threading, waxing, bleaching, facial and hair care services right in the center of Singapore!",Spas,5.0,1
1513,White Rabbit Hole,"533 Upper Cross Street #04-29, Singapore 050533 Singapore","A thought is seeded to bring in like-minded people together to learn, share and connect. With this intention close to our heart, we planted this seed, cultivate and grow our newly-enchanted garden called White Rabbit Hole. Just like Alice In Wonderland story, we hope you can be inspired and enrich your soul through exploring your inner world with us.",Paint &amp; Pottery Studios • Cooking Classes,5.0,1
1514,Elevatione Time Stops,"8 Bayfront Avenue #01-31 Marina Bay Sands The Shoppes at Marina Bay Sands, Singapore 018955 Singapore",,Speciality &amp; Gift Shops,5.0,1
1515,Oriental Traditional Therapy,"57 Eng Hoon Street Tiong Bahru Estate, Singapore 160057 Singapore",,Spas,5.0,1
1516,Truefitt &amp; Hill,"15 Stamford Road #01-61, Capitol Piazza, Singapore 178906 Singapore","Recognized as the world’s oldest barbershop, Truefitt &amp; Hill offers a range of luxurious grooming experiences for the discerning male in Singapore. The traditional British brand, established in 1805, also carries the finest shaving, fragrance, hair and bath products to provide daily grooming solutions for today’s gentlemen. Visit T&amp;H to enjoy a haircut or a traditional hot towel wet shave.",Spas,4.5,2
1517,Porcelain Face Spa,"7 Wallich Street Tanjong Pagar Centre #01-02 Tanjong Pagar Center, Singapore 078884 Singapore",,Spas,5.0,1
1518,Limo Classico,"12 Purvis Street #02-555, Singapore 188591 Singapore",Limo Classico specializes in Luxury and Economy Limousine Services. We strive to give our clients the most affordable rates with comfort and luxury.,Taxis &amp; Shuttles,5.0,1
1519,HYGGE,"37 Haji Lane, Singapore 189230 Singapore","Hygge was started in 2017, in Singapore, with the vision of bringing the theme of Hygge (HUE-GUH), or the concept of cosiness to the community. We hope that everyone who walks into the store will be blessed with peace and calm and enjoy walking through our carefully curated collection of knick knacks, inspiring home decor, well selected ladies' clothing and accessories, as well as meaningful gifts for all occassions. We carry many Singapore made gifts and products as well.",Speciality &amp; Gift Shops,5.0,1
1520,Aresa Nails,"323 Joo Chiat Road, Singapore 427580 Singapore",Located at the heart of Katong Been operating since 2016 Specialist on manicure and pedicure We deliver highest quality material,Paint &amp; Pottery Studios,5.0,1
1521,JM LIMOUSINE SERVICE,"25 Kaki Bukit Road 4 #08-47 Synergy @ Kb, Singapore 417800 Singapore","JM Limousine Service - Airport Transfer / Hourly Booking Corporate event. We providing luxury and comfort transport to our client to give them the best stay in Singapore. We want to make travelling around Singapore easy and comfortable. Whether you’re looking for airport pickup or drop-off, private tours, limousine service for corporate events or hourly charters.",Taxis &amp; Shuttles,5.0,1
1522,Malayan Leather Craft,,"Leathercrafting in Singapore! The Malayan Leather Family has been in the leather business spanning across 3 decades, with a strong anchor at the helm of our company. The team consists of creatives who are passionate about leather, crafting and expanding our creativity through meeting others like us! We are here to assist you on your leathercrafting journey, so please, set sail, and let's explore together!",Paint &amp; Pottery Studios,5.0,1
1523,Limousine Services Singapore,,,Taxis &amp; Shuttles,4.0,3
1524,Room 2 By Central,"38 Hongkong Street Beds And Dreams Inn @ Clarke Quay, Singapore 059677 Singapore",Room 2 is a brand new networking bar targeted at travelers and expats staying in Singapore to meet and know each other. Suitable for groups.,Bars &amp; Clubs,5.0,1
1525,Feet Haven Reflexology,"136 East Coast Road #01-01; 4A Maju Avenue 556682, Singapore 428821 Singapore","A hidden gem nestled in a historical district warms the hearts and soles of Singaporeans, going beyond their (excellent and satisfying) foot reflexology services to provide a place for a community to come together while creating employment opportunities for senior workers.",Spas,4.0,5
1526,Limousine Taxi Singapore,,"Maxi Cab Booking in Singapore Our Services Includes: Airport transfer, hotel transfer, point-to-point transfer, hourly disposal, wedding, special events etc).",Taxis &amp; Shuttles,3.5,7
1527,Skin Miracles,"10A Lorong Mambong Holland Village Holland Village, Singapore 277675 Singapore","Skin Miracles is a Unisex Salon that specializes in Facial Treatments, Body Massage, Foot Reflexology, Waxing and Slimming. Ideally situated in the heart of Holland Village for easy accessibility. What sets us apart from the competition is that we never resort to hard and pushy sales. This allows you to fully immerse in the experience here and get the full attention from all our therapists.",Spas,5.0,1
1528,Karaoke Times,"180 Kitchener Road #05-06 City Square Mall, Singapore 208539 Singapore",Karaoke Times is an affordable family Karaoke entertainment outlet which is equipped with state of the art music equipment in 11 tastefully furnished rooms and a hall with panoramic view. We strive to provide a classy and cozy singing environment for the patrons to enjoy unlimited family fun,Karaoke Bars,5.0,1
1529,Han Dynasty Spa,"221 Balestier Road Rocca Balestier #04-01 Rocca Balestier, Singapore 329928 Singapore",,Spas,5.0,1
